"funnel_step","funnel_name","platform","age_range","download_date","pickup_time","user_count","ride_count"
"1","downloaded_app","ios","45-54","2021-03-03","","1","0"
"1","downloaded_app","ios","45-54","2021-03-02","2021-04-16 08:00:00","1","0"
"1","downloaded_app","ios","18-24","2021-04-15","2021-12-16 17:00:00","3","0"
"1","downloaded_app","ios","45-54","2021-03-01","","1","0"
"1","downloaded_app","ios","45-54","2021-02-28","2021-03-02 11:00:00","3","0"
"1","downloaded_app","ios","18-24","2021-04-16","2021-04-17 17:00:00","3","0"
"1","downloaded_app","android","25-34","2021-05-02","2021-06-17 16:00:00","4","0"
"1","downloaded_app","ios","45-54","2021-02-27","","1","0"
"1","downloaded_app","ios","45-54","2021-02-26","2021-10-24 14:00:00","5","0"
"1","downloaded_app","ios","18-24","2021-04-17","","2","0"
"1","downloaded_app","ios","45-54","2021-02-25","2021-02-26 16:00:00","4","0"
"1","downloaded_app","ios","18-24","2021-04-18","2021-04-19 20:00:00","4","0"
"1","downloaded_app","android","18-24","2021-04-13","2021-04-15 19:00:00","2","0"
"1","downloaded_app","ios","45-54","2021-02-24","2021-09-19 14:00:00","4","0"
"1","downloaded_app","ios","18-24","2021-04-19","2021-07-22 04:00:00","3","0"
"1","downloaded_app","web","Unknown","2021-06-26","2021-09-13 18:00:00","2","0"
"1","downloaded_app","ios","45-54","2021-02-23","2021-02-26 18:00:00","3","0"
"1","downloaded_app","ios","45-54","2021-02-22","","2","0"
"1","downloaded_app","ios","18-24","2021-04-20","2021-05-23 18:00:00","4","0"
"1","downloaded_app","ios","45-54","2021-02-21","2021-02-23 17:00:00","2","0"
"1","downloaded_app","ios","45-54","2021-02-20","2021-02-23 17:00:00","3","0"
"1","downloaded_app","ios","18-24","2021-04-21","2021-04-22 17:00:00","4","0"
"1","downloaded_app","web","Unknown","2021-06-24","","1","0"
"1","downloaded_app","ios","45-54","2021-02-19","","4","0"
"1","downloaded_app","ios","45-54","2021-02-18","2021-10-12 09:00:00","3","0"
"1","downloaded_app","ios","18-24","2021-04-22","2021-04-24 16:00:00","2","0"
